Starosta Powiatu Krakowskiego,1206
Prezydent Miasta Piekary Śląskie,2471
Prezydent Miasta Białegostoku,2061
Starosta Milicki,213
Starosta Bielski,2402
Starosta Powiatu Trzebnickiego,220
Starosta Powiatu Mieleckiego,1811
Starosta Powiatu Gnieźnieńskiego,3003
Starosta Wrzesiński,3030
Prezydent Miasta Stołecznego Warszawy,1465
Starosta Zielonogórski,809
Starosta Powiatu Żuromińskiego,1437
Starosta Powiatu Namysłowskiego,1606
Starosta Powiatu Cieszyńskiego,2403
Burmistrz Gminy Kęty,121304
Starosta Powiatu Białostockiego,2002
Starosta Powiatu Buskiego,2601
Prezydent Miasta Włocławek,464
Starosta Powiatu Świebodzińskiego,808
Starosta Polkowicki,216
Prezydent Miasta Ruda Śląska,2472
Starosta Powiatu Pilskiego,3019
Prezydent Miasta Opola,1661
Starosta Powiatu Lubaczowskiego,1809
Starosta Powiatu Sanockiego,1817
Starosta Powiatu Przeworskiego,1814
Starosta Powiatu Brzozowskiego,1802
Starosta Powiatu Brzeskiego,1601
Starosta Powiatu Krapkowickiego,1605
Starosta Powiatu Czarnkowsko-Trzcianeckiego,3002
Starosta Powiatu Żarskiego,811
Prezydent Miasta Krosna,1861
Starosta Opolski,1609
Starosta Kluczborski,1604
Starosta Przemyski,1813
Prezydent Miasta Grudziądz,462
Starosta Powiatu Mikołowskiego,2408
Prezydent Miasta Żory,2479
Prezydent Miasta Katowice,2469
Starosta Powiatu Ropczycko-Sędziszowskiego,1815
Starosta Strzyżowski,1819
Starosta Powiatu Oleskiego,1608
Starosta Powiatu Stalowowolskiego,1818
Prezydent Miasta Kielce,2661
Starosta Bieszczadzki,1801
Starosta Powiatu Nakielskiego,410
Starosta Powiatu Niżańskiego,1812
Starosta Powiatu Bydgoskiego,403
Prezydent Miasta Bydgoszczy,461
Starosta Powiatu Świeckiego,414
Starosta Powiatu Starogardzkiego,2213
Starosta Głubczycki,1602
Starosta Powiatu Żnińskiego,419
Starosta Powiatu Golubsko-Dobrzyńskiego,405
Starosta Powiatu Tarnobrzeskiego,1820
Prezydent Miasta Jelenia Góra,261
Starosta Tucholski,416
Starosta Powiatu Jarocińskiego,3006
Starosta Radziejowski,411
Starosta Powiatu Średzkiego,3025
Prezydent Miasta Rzeszowa,1863
Starosta Powiatu Lipnowskiego,408
Starosta Powiatu Nowomiejskiego,2812
Prezydent Miasta Torunia,463
Starosta Powiatu Jarosławskiego,1804
Starosta Ostrowiecki,2607
Starosta Powiatu Łańcuckiego,1810
Starosta Powiatu Starachowickiego,2611
Starosta Powiatu Działdowskiego,2803
Starosta Powiatu Rypińskiego,412
Starosta Powiatu Chełmińskiego,404
Starosta Wąbrzeski,417
Starosta Powiatu Inowrocławskiego,407
Starosta Powiatu Nyskiego,1607
Starosta Powiatu Pleszewskiego,3020
Starosta Powiatu Leżajskiego,1808
Starosta Karkonoski,206
Prezydent Miasta Chorzów,2463
Starosta Powiatu Prudnickiego,1610
Starosta Powiatu Mińskiego,1412
Starosta Poznański,3021
Starosta Powiatu Szczecineckiego,3215
Starosta Powiatu Mogileńskiego,409
Starosta Powiatu Nidzickiego,2811
Prezydent Miasta Zielona Góra,862
Starosta Jasielski,1805
Starosta Powiatu Koneckiego,2605
Prezydent Miasta Bielska-Białej,2461
Starosta Kolbuszowski,1806
Starosta Powiatu Rzeszowskiego,1816
Starosta Powiatu Lubańskiego,210
Starosta Powiatu Strzeleckiego,1611
Starosta Dąbrowski,1204
Starosta Powiatu Grudziądzkiego,406
Starosta Powiatu Brodnickiego,402
Prezydent Miasta Kalisza,3061
Starosta Pruszkowski,1421
Prezydent Miasta Lublin,663
Starosta Krośnieński,1807
Starosta Powiatu Kartuskiego,2205
Starosta Powiatu Kętrzyńskiego,2808
Starosta Powiatu Hrubieszowskiego,604
Starosta Powiatu Brzeskiego,1202
Prezydent Miasta Biała Podlaska,661
Starosta Powiatu Raciborskiego,2411
Prezydent Miasta Słupska,2263
Prezydent Miasta Tychy,2477
Starosta Powiatu Wrocławskiego,223
Starosta Świdnicki,219
Prezydent Miasta Przemyśla,1862
Prezydent Wrocławia,264
Starosta Powiatu Olkuskiego,1212
Prezydent Miasta Poznania,3064
Prezydent Miasta Legnicy,262
Starosta Wielicki,1219
Starosta Łódzki Wschodni,1006
Starosta Oławski,215
Starosta Płocki,1419
Starosta Powiatu Skierniewickiego,1015
Starosta Powiatu Olsztyńskiego,2814
Starosta Powiatu Bełchatowskiego,1001
Starosta Powiatu Wadowickiego,1218
Starosta Ostródzki,2815
Starosta Powiatu Giżyckiego,2806
Starosta Włocławski,418
Starosta Powiatu Puławskiego,614
Starosta Powiatu Szczycieńskiego,2817
Starosta Sławieński,3213
Starosta Chodzieski,3001
Starosta Powiatu Nowosolskiego,804
Starosta Gołdapski,2818
Starosta Powiatu Chrzanowskiego,1203
Starosta Powiatu Mrągowskiego,2810
Starosta Powiatu Zambrowskiego,2014
Starosta Powiatu Iławskiego,2807
Starosta Ełcki,2805
Prezydent Miasta Elbląg,2861
Starosta Węgorzewski,2819
Starosta Zgorzelecki,225
Starosta Lubartowski,608
Starosta Opatowski,2606
Starosta Braniewski,2802
Starosta Bieruńsko-Lędziński,2414
Starosta Powiatu Łobeskiego,3218
Starosta Powiatu Goleniowskiego,3204
Starosta Powiatu Sępoleńskiego,413
Starosta Powiatu Bartoszyckiego,2801
Prezydent Miasta Świętochłowice,2476
Starosta Powiatu Łęczyńskiego,610
Starosta Olecki,2813
Prezydent Miasta Bytomia,2462
Starosta Wałecki,3217
Prezydent Miasta Gdyni,2262
Starosta Powiatu Słupskiego,2212
Prezydent Miasta Dąbrowa Górnicza,2465
Prezydent Miasta Chełm,662
Starosta Drawski,3203
Starosta Skarżyski,2610
Starosta Łęczycki,1004
Starosta Powiatu Lubelskiego,609
Starosta Lidzbarski,2809
Starosta Powiatu Opolskiego,612
Starosta Powiatu Aleksandrowskiego,401
Starosta Tatrzański,1217
Starosta Powiatu Kędzierzyńsko-Kozielskiego,1603
Starosta Lwówecki,212
Starosta Stargardzki,3214
Starosta Białogardzki,3201
Starosta Sandomierski,2609
Starosta Koszaliński,3209
Starosta Kolski,3009
Prezydent Miasta Świnoujście,3263
Starosta Kamiennogórski,207
Starosta Powiatu Legionowskiego,1408
Starosta Pyrzycki,3212
Starosta Powiatu Oświęcimskiego,1213
Starosta Warszawski Zachodni,1432
Prezydent Miasta Szczecin,3262
Starosta Bolesławiecki,201
Starosta Powiatu Myszkowskiego,2409
Starosta Wołowski,222
Starosta Strzelecko-Drezdenecki,806
Starosta Żagański,810
Prezydent Miasta Jastrzębie-Zdrój,2467
Starosta Leszczyński,3013
Starosta Gorzowski,801
Starosta Choszczeński,3202
Prezydent Miasta Radomia,1463
Starosta Ostrzeszowski,3018
Starosta Ostrowski,3017
Starosta Kołobrzeski,3208
Starosta Łomżyński,2007
Starosta Powiatu Krasnostawskiego,606
Starosta Międzychodzki,3014
Prezydent Miasta Łodzi,1061
Starosta Złotoryjski,226
Starosta Powiatu Gostynińskiego,1404
Starosta Rawicki,3022
Starosta Tarnogórski,2413
Prezydent Miasta Konina,3062
Prezydent Miasta Tarnobrzega,1864
Starosta Koniński,3010
Starosta Powiatu Krotoszyńskiego,3012
Starosta Powiatu Zamojskiego,620
Starosta Powiatu Kaliskiego,3007
Starosta Wolsztyński,3029
Starosta Sierpecki,1427
Starosta Sochaczewski,1428
Starosta Tczewski,2214
Starosta Powiatu Słupeckiego,3023
Prezydent Miasta Zabrze,2478
Prezydent Miasta Gliwice,2466
Starosta Powiatu Szamotulskiego,3024
Starosta Janowski,605
Starosta Powiatu Dębickiego,1803
Starosta Powiatu Kieleckiego,2604
Starosta Śremski,3026
Starosta Powiatu Tureckiego,3027
Starosta Grodziski,3005
Starosta Nowotomyski,3015
Starosta Legnicki,209
Prezydent Miasta Rybnika,2473
Starosta Staszowski,2612
Starosta Powiatu Żyrardowskiego,1438
Prezydent Miasta Koszalina,3261
Prezydent Olsztyna,2862
Starosta Powiatu Chojnickiego,2202
Prezydent Miasta Leszna,3063
Prezydent Miasta Siemianowice Śląskie,2474
Starosta Powiatu Nowodworskiego,1414
Starosta Płoński,1420
Starosta Powiatu Przasnyskiego,1422
Starosta Łowicki,1005
Starosta Powiatu Średzkiego,218
Starosta Powiatu Wyszkowskiego,1435
Starosta Powiatu Grodziskiego,1405
Starosta Powiatu Leskiego,1821
Starosta Głogowski,203
Prezydent Miasta Skierniewice,1063
Starosta Powiatu Opoczyńskiego,1007
Starosta Dzierżoniowski,202
Starosta Złotowski,3031
Starosta Powiatu Nowodworskiego,2210
Starosta Wodzisławski,2415
Starosta Powiatu Sejneńskiego,2009
Prezydent Miasta Siedlce,1464
Starosta Pułtuski,1424
Starosta Powiatu Radomskiego,1425
Starosta Powiatu Kępińskiego,3008
Starosta Wągrowiecki,3028
Starosta Piski,2816
Starosta Powiatu Kłodzkiego,208
Starosta Myśliborski,3210
Starosta Powiatu Lubińskiego,211
Starosta Jaworski,205
Starosta Ostrowski,1416
Prezydent Miasta Sopot,2264
Starosta Obornicki,3016
Starosta Gostyński,3004
Starosta Powiatu Gorlickiego,1205
Starosta Powiatu Oleśnickiego,214
Starosta Wejherowski,2215
Starosta Policki,3211
Starosta Kraśnicki,607
Starosta Powiatu Świdwińskiego,3216
Starosta Lipski,1409
Starosta Ząbkowicki,224
Prezydent Miasta Mysłowice,2470
Starosta Powiatu Gryfińskiego,3206
Prezydent Miasta Częstochowy,2464
Starosta Makowski,1411
Starosta Jędrzejowski,2602
Starosta Kolneński,2006
Starosta Wałbrzyski,221
Starosta Powiatu Wysokomazowieckiego,2013
Starosta Powiatu Zwoleńskiego,1436
Starosta Chełmski,603
Starosta Limanowski,1207
Starosta Kłobucki,2406
Prezydent Miasta Gdańska,2261
Starosta Otwocki,1417
Starosta Kamieński,3207
Prezydent Miasta Gorzowa Wielkopolskiego,861
STAROSTA PRZYSUSKI,1423
Prezydent Miasta Płocka,1462
Starosta Bielski w Bielsku Podlaskim,2003
Starosta Piaseczyński,1418
Prezydent Miasta Krakowa,1261
Starosta Powiatu Biłgorajskiego,602
Prezydent Miasta Zawiercie,241602
Starosta Tomaszowski,1016
Starosta Górowski,204
Starosta Powiatu Strzelińskiego,217
Starosta Lubliniecki,2407
Starosta Powiatu Elbląskiego,2804
Starosta Powiatu Siemiatyckiego,2010
Starosta Pabianicki,1008
Prezydent Miasta Suwałk,2063
Starosta Powiatu Grajewskiego,2004
Starosta Powiatu Łosickiego,1410
Starosta Gryficki,3205
Starosta Sokólski,2011
Starosta Moniecki,2008
Prezydent Miasta Zamość,664
Starosta Będziński,2401
Burmistrz Miasta i Gminy Wolbrom,121207
Starosta Proszowicki,1214
Starosta Hajnowski,2005
Starosta Powiatu Garwolińskiego,1403
Starosta Toruński,415
Starosta Białobrzeski,1401
Starosta Łukowski,611
Starosta Siedlecki,1426
Starosta Powiatu Myślenickiego,1209
Starosta Powiatu Suwalskiego,2012
Starosta Międzyrzecki,803
Starosta Powiatu Wschowskiego,812
Starosta Powiatu Człuchowskiego,2203
Starosta Powiatu Ryckiego,616
Starosta Pińczowski,2608
Starosta Radzyński,615
Starosta Szydłowiecki,1430
Starosta Powiatu Mławskiego,1413
Starosta Suski,1215
Starosta Powiatu Zduńskowolskiego,1019
Starosta Malborski,2209
Starosta Sulęciński,807
Starosta Łaski,1003
Starosta Powiatu Piotrkowskiego,1010
Starosta Rawski,1013
Starosta Powiatu Bialskiego,601
Starosta Parczewski,613
Starosta Kościerski,2206
Starosta Powiatu Lęborskiego,2208
Starosta Ostrołęcki,1415
Starosta Włodawski,619
Starosta Grójecki,1406
Starosta Nowotarski,1211
Starosta Świdnicki,617
Starosta Powiatu Puckiego,2211
Prezydent Miasta Piotrków Trybunalski,1062
Starosta Powiatu Kutnowskiego,1002
Starosta Kwidzyński,2207
Starosta Węgrowski,1433
Starosta Augustowski,2001
Starosta Sztumski,2216
Starosta Powiatu Gdańskiego,2204
Prezydent Miasta Ostrołęki,1461
Starosta Sokołowski,1429
Starosta Powiatu Częstochowskiego,2404
Starosta Powiatu Radomszczańskiego,1012
Prezydent Miasta Wałbrzycha,265
Starosta Powiatu Kazimierskiego,2603
Starosta Powiatu Gliwickiego,2405
Starosta Powiatu Pszczyńskiego,2410
Starosta Zgierski,1020
Starosta Nowosądecki,1262
Starosta Nowosądecki,1210
Starosta Powiatu Ciechanowskiego,1402
Burmistrz Miasta Cieszyna,240301
Starosta Powiatu Bocheńskiego,1201
Starosta Powiatu Pajęczańskiego,1009
Starosta Powiatu Poddębickiego,1011
Starosta Kozienicki,1407
STAROSTA KOŚCIAŃSKI,3011
Starosta Wieruszowski,1018
Prezydent Miasta Tarnowa,1263
STAROSTA RYBNICKI,2412
Starosta Tomaszowski,618
Starosta Żywiecki,2417
Starosta Miechowski,1208
Starosta Bytowski,2201
Prezydent Miasta Sosnowiec,2475
Starosta Brzeziński,1021
Starosta Sieradzki,1014
Starosta Powiatu Wołomińskiego,1434
Starosta Tarnowski,1216
Prezydent Miasta Jaworzna,2468
Starosta Wieluński,1017
Burmistrz Czechowic-Dziedzic,240204
Starosta Powiatu Włoszczowskiego,2613
Starosta Słubicki,805
Starosta Krośnieński,802
Starosta Zawierciański,2416
